Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
14555;MARANGONI;18494;MARANGONI;0,141;0,080;0,163;0,157;0,201;0,205;0,093;0,099;0,063;0,056;0,119;0,157
14557;EOL COLINA;18496;EOL COLINA;;;;;;30,104;;;;;;
14557;EOL COLINA;70403;EOL COLINA I5;5,925;5,925;5,925;5,925;5,925;5,925;5,925;6,112;6,123;6,064;5,925;5,925
14558;EOL BOA VISTA;18497;EOL BOA VISTA;;;;;;76,109;;;;;;
14558;EOL BOA VISTA;70402;EOL BOA VISTA I5;13,614;13,614;13,614;13,614;13,614;13,614;13,614;13,830;13,845;13,764;13,614;13,614
14559;EOL ALTO DO BONITO;18498;EOL ALTO DO BONITO;;;;;;78,432;;;;;;
14559;EOL ALTO DO BONITO;70401;EOL ALTO DO BONITO I5;13,861;13,861;13,861;13,861;13,861;13,861;13,861;14,211;14,232;14,110;13,861;13,861
14560;TESTA I;18499;TESTA I;15,541;;3,151;;;;1,088;0,906;0,090;0,090;0,090;0,090
14560;TESTA I;65224;TESTA I I5;11,000;11,000;11,000;11,000;11,000;11,000;11,000;11,000;11,000;11,000;21,130;22,000
14560;TESTA I;83776;TESTA I I0;;;;;;4,616;4,000;5,000;3,400;6,500;;
14561;PDEE;18500;PDEE;26,513;3,730;3,151;;;;3,000;3,000;;;;
14561;PDEE;18894;PDEE I5;12,700;12,700;12,700;12,700;12,700;12,700;12,816;12,899;16,500;30,330;30,365;30,367
14561;PDEE;60668;PDEE I0;;;;;;9,823;4,000;8,113;6,000;;;
14562;SIGMA;18501;SIGMA;;;;;;0,800;0,800;8,800;0,800;0,800;0,800;0,800
14562;SIGMA;18895;SIGMA I5;30,000;30,000;30,000;30,000;30,000;11,500;11,412;12,416;12,316;12,284;12,224;11,647
14595;EOLICA JAU;70848;JAU I5;34,300;34,300;34,401;34,467;34,502;34,529;34,502;34,468;34,460;34,448;34,411;34,434
14636;UTE VIST ALEG I;21295;UTE VIST ALEG I I5;93,474;59,994;45,562;33,653;44,802;44,407;65,981;73,415;58,262;25,920;32,682;15,361
14636;UTE VIST ALEG I;71676;UTE VIST ALEG I I5 B;;39,536;27,604;;;;;;;;;15,251
14638;UHE SENS;18578;UHE SENS;;;;;;1,000;1,000;;;;;0,800
14638;UHE SENS;69669;UHE SENS II I5;2,000;2,000;2,000;2,000;2,583;2,800;4,040;4,040;3,190;3,367;3,089;2,200
14696;GEOCV;71980;GEOCV I5;13,600;13,730;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600;13,600
14702;GEOCV II;71993;GEOCV II I5;9,000;9,476;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,093;9,393;9,000
14755;ALIANCA GERACAO;18854;ALIANCA GERACAO;883,126;818,361;797,821;638,688;631,548;704,839;710,382;715,092;718,279;718,503;710,064;604,232
14797;HERMENEGILDO II;59218;HERMENEGILDO II I5;24,134;22,843;23,715;24,403;24,417;24,210;24,544;24,426;24,314;24,770;24,292;27,219
14815;HERMENEGILDO III;59219;HERMENEGILDO III I5;20,067;19,123;19,666;20,261;20,275;20,261;20,371;20,299;20,208;20,667;20,211;22,930
14817;CHUI IX;59110;CHUI IX I5;7,105;6,529;6,999;7,142;7,151;7,084;7,180;7,118;7,114;7,267;7,150;9,096
14818;HERMENEGILDO I;59217;HERMENEGILDO I I5;23,943;20,925;23,609;24,035;24,066;23,899;24,154;24,084;23,987;24,489;24,067;24,152
14819;VENTOS DOS GUARAS I;58269;VENTOS DOS GUARAS I I5;15,500;15,500;15,500;15,810;15,810;17,243;15,500;15,810;15,810;15,810;15,810;15,810
14820;CIANE SHOP;18940;CIANE SHOP;;;;;;0,188;0,204;;;;;
14836;GRUPO BC;18955;GRUPO BC;338,252;349,688;376,269;422,132;432,528;505,656;563,551;529,213;538,493;603,721;589,949;630,497
14836;GRUPO BC;20154;GRUPO BC I5;129,459;100,582;110,797;102,035;90,715;76,998;89,993;74,319;73,960;89,814;78,589;91,069
14836;GRUPO BC;20155;GRUPO BC I0;;38,978;;3,000;13,249;3,545;0,063;4,000;1,499;;2,004;3,000
14836;GRUPO BC;20156;GRUPO BC I1;6,064;5,619;5,796;5,689;5,158;5,817;3,978;4,917;5,220;5,222;6,445;5,022
14855;PARDO TERMOELETRICA;19054;PARDO TERMOELETRICA I5;11,080;11,257;11,080;11,136;12,765;12,821;12,765;12,765;12,821;12,765;12,806;11,080
14855;PARDO TERMOELETRICA;19396;PARDO TERMOELETRICA CL;0,211;0,208;0,176;0,120;;0,051;0,026;0,103;0,167;0,128;0,209;0,181
14875;BONS VENTOS DA SERRA 2;72026;BONS VENTOS DA SERRA 2 I5;35,300;35,300;35,300;35,300;35,300;35,300;48,741;36,500;36,500;36,500;36,500;36,500
14877;CGH ANTONIO PRADO;19576;CGH ANTONIO PRADO I5;;;;;0,587;0,688;0,833;0,799;0,762;0,759;0,762;0,759
14895;PCH GARCA BRANCA;19098;PCH GARCA BRANCA;;;;;;;5,078;;;;;
14895;PCH GARCA BRANCA;19354;PCH GARCA BRANCA I5;3,153;3,232;3,224;3,121;3,110;3,084;3,057;3,204;3,312;3,728;3,317;3,259
14917;GALICIA;19217;GALICIA;;;;;;;;;;;;1,415
14917;GALICIA;70161;GALICIA EI SE;;;;;;;;;;;;0,092
14919;BIO UNIVALEM;19219;BIO UNIVALEM;;;;;;;;;;3,389;;
14919;BIO UNIVALEM;19254;BIO UNIVALEM I5;;;;13,751;17,846;21,634;25,327;22,708;23,405;23,787;22,066;15,465
14919;BIO UNIVALEM;71503;BIO UNIVALEM I0;;;;;1,792;0,703;0,682;0,765;0,483;;1,541;0,183
14975;HONDA ENERGY;19315;HONDA ENERGY I5;10,811;11,854;10,865;11,832;11,000;9,940;8,892;11,241;11,291;12,362;10,648;9,399
14996;PCH MONTE BELO;19895;PCH MONTE BELO I5;4,834;4,199;4,855;4,756;4,858;4,708;4,581;8,064;6,950;8,557;12,113;14,639
15055;RANDON SUSPENSYS;19438;RANDON SUSPENSYS;;;;0,121;0,165;0,112;0,030;0,087;0,233;0,100;0,197;0,531
15115;TEODORO S;63519;TEODORO APE I5;;0,195;0,345;0,352;0,509;0,412;0,163;0,181;0,183;0,094;0,116;0,145
15156;G&D;19915;G&D I5;0,500;0,500;0,500;0,500;0,687;0,688;0,687;0,687;0,687;0,687;0,687;0,500
15157;VERDE 08;77025;VERDE 08 I5;18,000;18,000;18,000;18,000;18,000;18,000;18,000;18,000;18,000;18,000;18,000;18,000
15175;EOL VILA PARA I;63078;EOL VILA PARA I I5;13,170;13,170;13,170;13,170;13,050;13,270;13,270;13,170;13,170;13,170;13,170;13,170
15195;EOL VILA PARA II;63100;EOL VILA PARA II I5;11,470;11,470;11,470;11,470;11,470;11,400;11,400;11,470;11,470;11,470;11,470;11,470
15196;EOL VILA PARA III;63103;EOL VILA PARA III I5;11,480;11,480;11,480;11,480;11,600;11,350;11,350;11,350;11,350;11,350;11,480;11,350
15197;EOL VILA AMAZONAS V;63104;EOL VILA AMAZONAS V I5;12,280;12,280;12,280;12,280;12,280;12,380;12,380;12,410;12,410;12,410;12,280;12,410
15198;SHOPPING ITABORAI PLAZA;19638;SHOPPING ITABORAI PLAZA;;;;;;;0,064;0,077;0,089;0,039;0,065;
15235;FRANCISCO LINDNER;20694;FRANCISCO LINDNER I5;1,017;0,945;0,942;0,981;0,949;0,991;0,694;0,264;0,305;0,692;1,189;1,261
15275;PCH SPESSATTO;58704;PCH SPESSATTO I5;1,181;1,229;1,235;1,156;1,300;1,314;1,334;1,418;1,443;1,355;1,283;1,297
15282;MULTIPLAN;84848;MULTIPLAN AP I5;;;;;;0,329;3,221;1,850;2,130;2,100;1,980;2,050
15282;MULTIPLAN;86584;MULTIPLAN G I5;;;;;;;;1,850;2,130;2,100;1,980;2,050
15315;STA VITORIA PALMAR I;66665;STA VITORIA PALMAR I I5;9,878;9,846;9,821;9,878;9,878;9,878;9,878;9,878;9,952;9,878;9,893;9,878
15316;STA VITORIA PALMAR IX;66673;STA VITORIA PALMAR IX I5;4,303;4,142;4,012;4,303;4,303;4,303;4,303;4,303;4,678;4,303;4,379;4,303
15317;STA VITORIA PALMAR II;66666;STA VITÓRIA PALMAR II I5;12,910;12,801;12,713;12,910;12,910;12,910;12,910;12,910;13,164;12,910;12,961;12,910
