Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
80159;ATALAIA CL 514;47394;ATALAIA CL 514;0,020;0,046;;;;
80502;INDUSTRIAS BECKER;47404;INDUSTRIAS BECKER CL 514;;;;0,024;;
80622;MAX ADMINISTRADORA;47409;MAX ADMINISTRADORA CL 514;;;;0,006;0,029;0,027
80641;TECHNOPACK;47420;TECHNOPACK CL 514;;;;;0,041;0,020
80786;WLS;47423;WLS CL 514;0,296;0,289;0,290;0,346;0,350;0,342
81146;MARILIA AUTO PECAS;47440;MARILIA AUTO PECAS CL 514;0,043;0,032;0,019;0,024;;0,023
81389;GRUPO CARMO;47442;GRUPO CARMO CL 514;0,016;;;0,068;;0,128
82467;MULTIBLOCO;47450;MULTIBLOCO CL 514;0,040;0,074;;;;
82547;COLITEX AGRO;47453;COLITEX AGRO CL 514;;;;0,039;0,119;
82276;SÃO MANOEL BORRACHAS;47485;SAO MANOEL BORRACHAS CL 514;;;0,030;;;
82592;FECULARIA NATIVA ESP;47488;FECULARIA NATIVA NESP;0,082;0,089;;;;
82986;TERRA E AGUA CL 514;47492;TERRA E AGUA CL 514;0,072;0,029;0,024;0,086;0,120;0,166
81659;C CL SUPER RODAS;47496;C CL SUPER RODAS;;0,018;;;;0,025
81826;EXTRAFRUTI;47498;EXTRAFRUTI CL 514;;;;0,175;;
81927;RELVAPLAC;47499;RELVAPLAC CL 514;0,079;0,026;0,030;0,024;;
82270;BRUTT;47526;BRUTT CL 514;;0,039;0,032;0,039;0,042;0,017
82458;TECPARTS;47529;TECPARTS CL 514;0,123;0,128;0,122;0,110;0,125;0,121
82306;AIRO PLAST;47534;AIRO PLAST CL 514;0,026;;;;;
82493;ALTOM IND COM;47541;ALTOM IND COM CL 514;0,497;0,468;;;;0,291
82640;FRIGORIFICO JR ESP;47548;FRIGORIFICO JR NESP;0,011;0,010;0,010;0,010;0,011;0,012
82641;ALIMENTOS FAGUNDES ESP;47555;ALIMENTOS FAGUNDES NESP;0,034;0,036;0,022;0,028;0,032;0,027
83030;IPACKCHEM;47558;IPACKCHEM CL 514;0,066;0,451;;;;
83181;PEDREIRA VACARIA CL 514;47564;PEDREIRA VACARIA CL 514;0,019;;;;;
83734;RSL;47606;RSL CL 514;0,023;;0,013;0,041;0,027;0,003
