Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
86948;PRUDENSHOPP CL 514;PRUDENSHOPPING S.A.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;388,812
86953;MULTITECNICA CL;MULTITECNICA INDUSTRIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;885,583
86953;MULTITECNICA CL;MULTITECNICA INDUSTRIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;460,285
86953;MULTITECNICA CL;MULTITECNICA INDUSTRIAL LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;376,198
86959;ITALO FOZ FORTALEZA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;35,101;38,941;47,941;47,383
86959;ITALO FOZ FORTALEZA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,705;24,151;29,396;29,642
86959;ITALO FOZ FORTALEZA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;32,781;44,130;34,960;35,262
86960;ITALO FOZ PANORAMA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;55,400;55,256
86960;ITALO FOZ PANORAMA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;33,890;33,744
86960;ITALO FOZ PANORAMA;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;36,175;38,032
86961;ITALO FB PINHEIRINHO;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;15,341
86961;ITALO FB PINHEIRINHO;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;7,929
86961;ITALO FB PINHEIRINHO;ITALO SUPERMERCADOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;9,898
86963;SCHULZ EI;SCHULZ S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;174,922
86963;SCHULZ EI;SCHULZ S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;124,148
86963;SCHULZ EI;SCHULZ S/A;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;120,938
86968;KARNE KEIJO 101;KARNE KEIJO - LOGISTICA INTEGRADA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;436,734
86968;KARNE KEIJO 101;KARNE KEIJO - LOGISTICA INTEGRADA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;159,161
86968;KARNE KEIJO 101;KARNE KEIJO - LOGISTICA INTEGRADA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;205,638
